meta,id,tweet,sentiment,emotion
meta,4330,nen  vist bolest vztek smutek zmatek osam  lost beznad  j a nakonec jen klid Asi takhle vypad  m  j life ,neutral,others
meta,41616, Haan yaar neha  kab karega woh post Usne na sach mein photoshoot karna chahiye phir woh post karega   ,neutral,sadness
meta,6648, television media   ke liye nhi hYe toh aapko pata chal hi gya hogaAchha hoga ki Congress ke   ,negative,others
meta,2512,  All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai,positive,others
meta,610,  who   Pagal hai kya  They aren   real issues Mandir is important Hindu khatre mei jo hai ,neutral,others
meta,14356, jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant    ,positive,joy
meta,5840,   but topi walay babu ki tau new job hougi humey chutti kesay milay gi  ,negative,fear
meta,32791,    Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne me,neutral,others
meta,37480, Baih tere itjey Kya jalti hai Pakistan se  chutiye khelne de na unhe bc tu Indian bhi nahi h   ,negative,anger
meta,16395, HeheI saw that   it  s actually from someone  s shaadi,neutral,joy
meta,33428, Can you answer miscalculated votes on each seat  One vote matters   deshkamahatyohar hai aur apne dhji   ,neutral,others
meta,19222, Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta hoAajzi,neutral,others
meta,8422, Bahut hi Samajhdari se Cingress ne ye Faisla liya haiAur ummeed karta hoon k Desh ke sabhi Party   ,neutral,others
meta,26930,  Tu Safar Mera Tu Hi Meri Manzil  Tere Bina Guzara Aye DiL Hai Mushkil   I LOVE U     ,positive,joy
meta,40285,Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k    ,positive,joy
meta,21403, We can face life together and we can spend my money on the both of us but it  s still MY money,positive,others
meta,35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba   ,positive,others
meta,18017,  tani   Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad   ,negative,disgust
meta,39736,   star77 Ohho Very beautiful eyes yarrrrr,positive,joy
meta,15893,EVRYONE SHIT THE FUCK UP  ,negative,anger
