meta,id,tweet,sentiment,emotion
meta,4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid Asi takhle vypad á m ů j life ...,neutral,others
meta,41616,@nehantics Haan yaar neha 😔😔 kab karega woh post 😭Usne na sach mein photoshoot karna chahiye phir woh post karega … https//tco/5RSlSbZNtt,neutral,sadness
meta,6648,@RahulGandhi television media congress ke liye nhi h.Ye toh aapko pata chal hi gya hoga.Achha hoga ki Congress ke … https//t.co/HmH8M7PTaK,negative,others
meta,2512,@AmitShah @narendramodi All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai,positive,others
meta,610,@Nehr _ who @TypoMantri @anjanaomkashyap Pagal hai kya ? They aren ’ t real issues Mandir is important Hindu khatre mei jo hai !,neutral,others
meta,14356,@narendramodi jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant … https//t co/XPCzJ7GFqC,positive,joy
meta,5840,@Fakeionist @SAMjhotaXpress @PLiChapel but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? 😭😭😭😭,negative,fear
meta,32791,@aajtak @syedasimwaqar @chitraaum @syedzafarBJP Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne me,neutral,others
meta,37480,@TarekFatah Baih tere itjey Kya jalti hai Pakistan se @TheRealPCB chutiye khelne de na unhe bc tu Indian bhi nahi h … https//t.co/ZWVPSNAyoe,negative,anger
meta,16395,@desimarthastew Hehe.I saw that coming.And it ’ s actually from someone ’ s shaadi.🤩,neutral,joy
meta,33428,@ECISVEEP Can you answer miscalculated votes on each seat ? One vote matters ! # deshkamahatyohar hai aur apne dhji … https//t.co/SuHS4mx6Dm,neutral,others
meta,19222,@MahaAli3320 Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta ho.Aajzi,neutral,others
meta,8422,@RavishKumarBlog Bahut hi Samajhdari se Cingress ne ye Faisla liya hai.Aur ummeed karta hoon k Desh ke sabhi Party … https//t.co/EuSG8iYwcH,neutral,others
meta,26930,RT @Mastani4423509 Tu Safar Mera Tu Hi Meri Manzil .... Tere Bina Guzara Aye DiL Hai Mushkil .... 💘🙈 I LOVE U @iamsrk ❤ !! https//t.co/vd3 …,positive,joy
meta,40285,Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k … https//t co/388Gx5xO2B,positive,joy
meta,21403,@Siitae We can face life together and we can spend my money on the both of us but it ’ s still MY money,positive,others
meta,35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba … https//tco/nXRCxP7ssw,positive,others
meta,18017,@its _ tani _ @yabikikainaaat Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad … https//t.co/N3BtVwXkc2,negative,disgust
meta,39736,@marrjao @Shining __ star77 Ohho Very beautiful eyes yarrrrr,positive,joy
meta,15893,EVRYONE SHIT THE FUCK UP https//t.co/RINOmqkPsZ,negative,anger
meta,5433,@atifthepoet haram khor log ulta chor kotowal ko dantey !! Mulk torney ki bat kerney waley ko or phulon ke har pehn … https//t co/4AkR4OobXv,negative,disgust
meta,23492,RT @BTS _ army _ Fin Also Stade de France is preparing for the concert.Looks so beautiful !😍 See their post on Instagram 👇🏼 https//t.co/OwhP …,positive,joy
